elapsed_s,interval,target_w,actual_w,cadence_rpm,speed_kph,distance_m
1.5,0,75,65,65.0,16.47,43736
2.5,0,75,69,64.0,16.4,43890
3.5,0,75,70,64.0,16.240000000000002,44049
4.5,0,75,73,64.0,16.16,44212
5.5,0,75,75,64.0,16.18,44380
6.5,0,75,77,65.0,16.330000000000002,44552
7.5,0,75,78,66.0,16.5,44729
8.5,0,75,80,66.0,16.77,44910
9.5,0,75,75,66.0,16.76,45096
10.5,0,75,75,66.0,16.79,45287
11.7,0,75,73,65.0,16.48,45682
12.7,0,75,80,67.0,16.75,45886
13.7,0,75,77,67.0,16.88,46095
14.7,0,75,73,66.0,16.740000000000002,46308
15.7,0,75,75,66.0,16.75,46526
16.7,0,75,80,68.0,17.04,46749
17.7,0,75,81,69.0,17.35,46976
18.7,0,75,76,68.0,17.41,47208
19.7,0,75,73,68.0,17.28,47445
20.7,0,75,74,67.0,17.23,47687
22.2,0,75,75,68.0,17.22,47933
23.2,0,75,77,69.0,17.330000000000002,48184
24.2,0,75,75,68.0,17.31,48184
25.2,0,75,71,67.0,17.09,48189
26.2,0,75,72,66.0,16.92,48198
27.2,0,75,74,67.0,16.87,48212
28.2,0,75,73,66.0,16.740000000000002,48231
29.2,0,75,74,66.0,16.66,48254
30.2,0,75,74,65.0,16.580000000000002,48282
31.2,0,75,77,66.0,16.68,48314
32.7,0,75,79,68.0,17.26,48393
33.7,0,75,73,67.0,17.18,48439
34.7,0,75,73,66.0,17.06,48490
35.7,0,75,71,66.0,16.82,48546
36.7,0,75,72,65.0,16.63,48606
37.7,0,75,77,67.0,16.75,48671
38.7,0,75,79,68.0,16.98,48741
39.7,0,75,75,67.0,16.990000000000002,48815
40.7,0,75,90,71.0,17.72,48894
41.7,0,75,81,71.0,17.990000000000002,48978
43.2,0,75,71,69.0,17.77,49067
44.2,0,75,72,68.0,17.62,49161
45.2,0,75,72,69.0,17.43,49260
46.2,0,75,77,70.0,17.53,49363
47.2,0,75,79,71.0,17.75,49471
48.2,0,75,74,70.0,17.7,49584
49.2,0,75,70,68.0,17.43,49702
50.2,0,75,72,67.0,17.240000000000002,49824
51.2,0,75,74,68.0,17.18,49951
52.2,0,75,74,68.0,17.1,50083
53.7,0,75,75,68.0,17.080000000000002,50360
54.7,0,75,77,68.0,17.21,50506
55.7,0,75,84,70.0,17.71,50657
56.7,0,75,78,71.0,17.88,50813
57.7,0,75,73,69.0,17.76,50974
58.7,0,75,75,70.0,17.75,51139
59.7,0,75,76,71.0,17.79,51309
60.7,0,75,76,71.0,17.85,51484
62.3,1,230,82,70.0,17.82,51664
63.3,1,230,161,64.0,16.55,51849
64.3,1,230,233,62.0,16.71,52038
65.3,1,230,324,73.0,20.29,52233
66.3,1,230,335,77.0,23.45,52434
67.3,1,230,273,80.0,24.43,52642
68.3,1,230,233,91.0,24.35,52857
69.3,1,230,229,96.0,24.32,53078
70.3,1,230,211,92.0,23.68,53306
71.3,1,230,215,92.0,23.2,53540
72.7,1,230,208,87.0,22.3,54028
73.7,1,230,222,88.0,22.080000000000002,54281
74.7,1,230,228,89.0,22.02,54284
75.7,1,230,224,86.0,21.79,54293
76.7,1,230,221,84.0,21.44,54307
77.7,1,230,225,84.0,21.21,54327
78.7,1,230,222,83.0,20.91,54353
79.7,1,230,228,82.0,20.82,54385
80.7,1,230,237,84.0,21.1,54423
81.7,1,230,230,84.0,21.1,54467
83.4,2,75,213,81.0,20.57,54516
84.4,2,75,153,83.0,20.87,54571
85.4,2,75,135,90.0,22.330000000000002,54632
86.4,2,75,83,85.0,22.31,54699
87.4,2,75,76,85.0,22.27,54772
88.4,2,75,72,88.0,22.150000000000002,54851
89.4,2,75,72,86.0,22.02,54936
90.4,2,75,72,86.0,21.89,55027
91.4,2,75,70,85.0,21.64,55124
92.4,2,75,72,85.0,21.490000000000002,55227
93.7,2,75,70,83.0,21.12,55451
94.7,2,75,71,83.0,20.91,55571
95.7,2,75,76,84.0,20.96,55697
96.7,2,75,79,85.0,21.12,55829
97.7,2,75,79,85.0,21.12,55829
98.7,2,75,89,89.0,22.14,56111
99.7,2,75,89,89.0,22.69,56261
100.7,2,75,83,90.0,23.03,56418
101.7,2,75,74,88.0,23.0,56581
102.7,2,75,69,87.0,22.77,56750
104.2,2,75,71,89.0,22.580000000000002,56925
105.2,2,75,70,89.0,22.37,57107
106.2,2,75,73,89.0,22.27,57295
107.2,2,75,79,90.0,22.43,57489
108.2,2,75,72,87.0,22.29,57689
109.2,2,75,67,84.0,21.96,57895
110.2,2,75,68,85.0,21.63,58107
111.2,2,75,72,87.0,21.48,58325
112.2,2,75,77,88.0,21.580000000000002,58548
113.2,2,75,74,86.0,21.53,58778
114.7,2,75,73,85.0,21.45,59254
115.7,2,75,73,85.0,21.45,59254
116.7,2,75,76,86.0,21.52,59754
117.7,2,75,76,85.0,21.55,59757
118.7,2,75,71,82.0,21.36,59766
119.7,2,75,73,84.0,21.27,59781
120.7,2,75,76,86.0,21.32,59802
121.7,2,75,71,83.0,21.14,59828
122.7,2,75,73,83.0,21.04,59860
123.7,2,75,73,83.0,20.96,59898
125.2,2,75,72,82.0,20.84,59941
126.2,2,75,73,82.0,20.740000000000002,59990
127.2,2,75,73,82.0,20.66,60045
128.2,2,75,77,83.0,20.75,60106
129.2,2,75,76,83.0,20.81,60172
130.2,2,75,73,81.0,20.7,60244
131.2,2,75,77,82.0,20.79,60322
132.2,2,75,76,83.0,20.830000000000002,60405
133.2,2,75,76,82.0,20.86,60494
134.2,2,75,73,81.0,20.77,60589
135.5,2,75,81,85.0,21.05,60690
136.5,2,75,84,87.0,21.47,60796
137.5,2,75,73,83.0,21.41,60908
138.5,2,75,72,82.0,21.29,61026
139.5,2,75,76,85.0,21.330000000000002,61150
140.5,2,75,73,84.0,21.240000000000002,61280
141.5,2,75,70,82.0,21.02,61416
142.5,2,75,77,85.0,21.13,61558
143.7,3,230,141,83.0,21.37,61858
144.7,3,230,184,76.0,19.84,62017
145.7,3,230,291,81.0,22.2,62182
146.7,3,230,267,83.0,23.46,62353
147.7,3,230,232,88.0,23.42,62531
148.7,3,230,209,87.0,22.64,62715
149.7,3,230,210,87.0,22.05,62905
150.7,3,230,208,85.0,21.39,63101
151.7,3,230,222,85.0,21.2,63303
152.7,3,230,241,88.0,21.66,63510
154.3,3,230,226,85.0,21.490000000000002,63723
155.3,3,230,226,84.0,21.35,63942
156.3,3,230,218,82.0,20.88,64167
157.3,3,230,221,81.0,20.52,64398
158.3,3,230,239,84.0,20.85,64634
159.3,3,230,228,82.0,20.77,64876
160.3,3,230,224,81.0,20.53,65123
161.3,3,230,226,81.0,20.35,65376
162.3,3,230,224,79.0,20.12,65379
163.3,3,230,265,86.0,21.400000000000002,65388
164.9,4,75,211,91.0,23.02,65424
165.9,4,75,157,96.0,24.71,65452
166.9,4,75,86,86.0,24.69,65487
167.9,4,75,65,77.0,24.2,65528
168.9,4,75,64,80.0,23.75,65576
169.9,4,75,63,90.0,23.27,65630
170.9,4,75,61,82.0,22.72,65690
171.9,4,75,63,74.0,22.22,65756
172.9,4,75,64,70.0,21.76,65828
173.9,4,75,63,64.0,21.25,65906
175.2,4,75,64,63.0,20.75,65990
176.2,4,75,65,61.0,20.27,66080
177.2,4,75,66,63.0,19.87,66175
178.2,4,75,68,64.0,19.490000000000002,66275
179.2,4,75,72,65.0,19.36,66380
180.2,4,75,71,68.0,19.18,66491
181.2,4,75,71,66.0,18.95,66607
182.2,4,75,72,66.0,18.8,66728
183.2,4,75,74,68.0,18.73,66854
184.2,4,75,76,75.0,18.8,66985
185.7,4,75,82,78.0,19.63,67264
186.7,4,75,78,77.0,19.76,67412
187.7,4,75,76,78.0,19.81,67565
188.7,4,75,75,78.0,19.81,67723
189.7,4,75,76,78.0,19.89,67887
190.7,4,75,77,79.0,19.990000000000002,68056
191.7,4,75,74,78.0,19.96,68231
192.7,4,75,75,79.0,19.97,68411
193.7,4,75,75,79.0,19.98,68597
194.7,4,75,76,79.0,20.01,68788
196.2,4,75,74,78.0,19.96,68985
197.2,4,75,72,78.0,19.81,69187
198.2,4,75,75,78.0,19.830000000000002,69395
199.2,4,75,76,79.0,19.89,69608
200.2,4,75,73,78.0,19.82,69826
201.2,4,75,73,77.0,19.7,70050
202.2,4,75,75,78.0,19.69,70279
203.2,4,75,80,80.0,19.95,70514
204.2,4,75,80,81.0,20.2,70754
205.2,4,75,78,80.0,20.35,71000
206.6,4,75,79,82.0,20.6,71252
207.6,4,75,76,82.0,20.650000000000002,71259
208.6,4,75,71,79.0,20.48,71272
209.6,4,75,78,81.0,20.59,71290
210.6,4,75,74,81.0,20.55,71314
211.6,4,75,72,80.0,20.44,71343
212.6,4,75,73,81.0,20.37,71378
213.6,4,75,74,81.0,20.36,71419
214.6,4,75,75,81.0,20.36,71465
215.6,4,75,76,81.0,20.42,71517
216.8,4,75,76,81.0,20.45,71574
217.8,4,75,72,79.0,20.3,71637
218.8,4,75,75,80.0,20.29,71705
219.8,4,75,76,81.0,20.34,71779
220.8,4,75,71,79.0,20.150000000000002,71858
221.8,4,75,76,80.0,20.17,71943
222.8,4,75,77,81.0,20.28,72034
223.8,4,75,77,80.0,20.36,72130
224.8,4,75,76,80.0,20.39,72232
226.0,5,230,105,80.0,20.23,72339
227.0,5,230,194,75.0,19.51,72452
228.0,5,230,293,79.0,21.98,72571
229.0,5,230,258,83.0,22.86,72696
230.0,5,230,237,89.0,23.0,72827
231.0,5,230,235,91.0,23.16,72965
232.0,5,230,237,93.0,23.45,73109
233.0,5,230,225,91.0,23.29,73260
234.0,5,230,224,91.0,23.06,73417
235.0,5,230,222,90.0,22.75,73580
236.3,5,230,222,89.0,22.43,73749
237.3,5,230,220,87.0,22.07,73924
238.3,5,230,219,86.0,21.67,74105
239.3,5,230,222,85.0,21.35,74292
240.3,5,230,223,84.0,21.07,74485
241.3,5,230,236,85.0,21.28,74684
242.3,5,230,234,85.0,21.46,74889
243.3,5,230,215,82.0,20.91,75099
244.3,5,230,231,83.0,20.95,75315
245.3,5,230,227,83.0,20.86,75537
247.0,6,75,213,84.0,21.0,75997
248.0,6,75,154,92.0,22.48,76236
249.0,6,75,114,87.0,23.400000000000002,76482
250.0,6,75,68,81.0,22.95,76734
251.0,6,75,66,84.0,22.57,76736
252.0,6,75,66,80.0,22.17,76744
253.0,6,75,67,73.0,21.81,76758
254.0,6,75,72,78.0,21.67,76778
255.0,6,75,75,89.0,21.68,76804
256.0,6,75,72,85.0,21.56,76836
257.4,6,75,73,84.0,21.47,76874
258.4,6,75,72,85.0,21.35,76918
259.4,6,75,70,83.0,21.13,76967
260.4,6,75,73,84.0,21.04,77022
261.4,6,75,76,84.0,21.06,77083
262.4,6,75,73,83.0,20.98,77150
263.4,6,75,76,83.0,21.02,77223
264.4,6,75,82,86.0,21.330000000000002,77301
265.4,6,75,80,86.0,21.56,77385
266.4,6,75,73,83.0,21.47,77475
267.7,6,75,71,83.0,21.18,77673
268.7,6,75,72,83.0,21.04,77781
269.7,6,75,72,83.0,21.04,77781
270.7,6,75,73,83.0,20.78,78014
271.7,6,75,75,82.0,20.76,78139
272.7,6,75,71,81.0,20.6,78269
273.7,6,75,72,80.0,20.47,78405
274.7,6,75,74,82.0,20.42,78547
275.7,6,75,75,81.0,20.44,78694
276.7,6,75,72,80.0,20.3,78847
278.2,6,75,76,81.0,20.34,79005
279.2,6,75,78,82.0,20.48,79169
280.2,6,75,75,80.0,20.46,79339
281.2,6,75,77,81.0,20.54,79514
282.2,6,75,76,82.0,20.62,79695
283.2,6,75,71,79.0,20.43,79882
284.2,6,75,73,80.0,20.330000000000002,80074
285.2,6,75,78,83.0,20.490000000000002,80272
286.2,6,75,74,81.0,20.47,80475
287.2,6,75,77,81.0,20.57,80684
288.7,6,75,82,84.0,21.09,81119
289.7,6,75,104,90.0,22.28,81346
290.7,6,75,90,90.0,22.84,81579
291.7,6,75,72,86.0,22.7,81818
292.7,6,75,70,86.0,22.51,82063
293.7,6,75,68,86.0,22.21,82314
294.7,6,75,69,87.0,21.94,82315
295.7,6,75,70,87.0,21.75,82322
296.7,6,75,78,89.0,21.89,82335
297.7,6,75,89,85.0,22.48,82354
299.3,6,75,80,83.0,22.69,82380
300.3,6,75,80,89.0,22.91,82412
301.3,6,75,77,90.0,23.02,82450
302.3,6,75,73,89.0,22.96,82495
303.3,6,75,73,90.0,22.900000000000002,82546
304.3,6,75,73,90.0,22.8,82603
305.3,6,75,69,88.0,22.54,82666
306.3,6,75,70,88.0,22.34,82736
307.7,7,230,134,85.0,21.68,82893
308.7,7,230,220,82.0,21.63,82981
309.7,7,230,282,90.0,23.54,83075
310.7,7,230,230,91.0,23.43,83175
311.7,7,230,211,87.0,22.740000000000002,83281
312.7,7,230,215,88.0,22.27,83394
313.7,7,230,227,89.0,22.19,83513
314.7,7,230,217,86.0,21.71,83638
315.7,7,230,229,86.0,21.66,83769
316.7,7,230,266,94.0,22.97,83906
318.2,7,230,259,95.0,23.87,84049
319.3,7,230,223,88.0,23.55,84199
320.3,7,230,205,81.0,22.66,84355
321.3,7,230,207,81.0,21.96,84517
322.3,7,230,216,86.0,21.490000000000002,84685
323.3,7,230,254,91.0,22.42,84859
324.3,7,230,217,87.0,21.91,85039
325.3,7,230,223,85.0,21.63,85225
326.3,7,230,212,83.0,20.97,85417
327.3,7,230,207,79.0,20.21,85615
328.9,8,75,194,81.0,20.18,86027
329.9,8,75,134,84.0,21.080000000000002,86241
330.9,8,75,100,84.0,21.51,86461
331.9,8,75,79,83.0,21.51,86687
332.9,8,75,79,85.0,21.62,86919
333.9,8,75,75,85.0,21.62,87157
334.9,8,75,72,83.0,21.47,87401
335.9,8,75,69,82.0,21.18,87651
336.9,8,75,71,83.0,21.02,87651
337.9,8,75,74,85.0,20.98,87656
339.2,8,75,75,84.0,20.98,87667
340.2,8,75,77,83.0,21.05,87684
341.2,8,75,73,82.0,20.97,87706
342.2,8,75,75,83.0,20.990000000000002,87734
343.2,8,75,77,84.0,21.080000000000002,87768
344.2,8,75,78,84.0,21.21,87808
345.2,8,75,83,86.0,21.57,87854
346.2,8,75,76,85.0,21.61,87906
347.2,8,75,71,82.0,21.45,87964
348.2,8,75,74,85.0,21.43,88027
349.7,8,75,78,86.0,21.71,88171
350.7,8,75,78,86.0,21.71,88171
351.7,8,75,76,85.0,21.650000000000002,88339
352.7,8,75,75,86.0,21.650000000000002,88432
353.7,8,75,75,85.0,21.67,88531
354.7,8,75,72,84.0,21.56,88636
355.7,8,75,74,85.0,21.5,88747
356.7,8,75,76,85.0,21.54,88864
357.7,8,75,76,86.0,21.6,88987
358.7,8,75,75,85.0,21.6,89116
360.2,8,75,71,83.0,21.43,89251
361.2,8,75,71,83.0,21.23,89391
362.2,8,75,75,85.0,21.22,89537
363.2,8,75,75,85.0,21.21,89689
364.2,8,75,76,84.0,21.27,89847
365.2,8,75,71,82.0,21.080000000000002,90011
366.2,8,75,69,81.0,20.82,90180
367.2,8,75,82,86.0,21.12,90355
368.2,8,75,100,89.0,22.13,90536
369.2,8,75,83,85.0,22.41,90723
370.7,8,75,79,90.0,22.75,91116
371.7,8,75,73,88.0,22.64,91322
372.7,8,75,72,87.0,22.51,91534
373.7,8,75,72,89.0,22.38,91752
374.7,8,75,73,88.0,22.3,91976
375.7,8,75,68,85.0,22.01,92206
376.7,8,75,70,86.0,21.78,92442
377.7,8,75,71,87.0,21.61,92684
378.7,8,75,82,89.0,21.900000000000002,92932
379.7,8,75,81,90.0,22.19,93186
381.2,8,75,76,87.0,22.240000000000002,93190
